
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Steinerkirchen an der Traun,Wels-Land,Oberösterreich,41821,2435,39.71,49.57,967,1207
Steinfeld,Spittal an der Drau,Kärnten,20637,2019,35.51,48.19,717,973
Steinhaus,Wels-Land,Oberösterreich,41822,2383,43.77,55.18,1043,1315
Stetteldorf am Wagram,Korneuburg,Niederösterreich,31228,1047,51.1,66.86,535,700
Stetten,Korneuburg,Niederösterreich,31229,1362,50.88,66.23,693,902
Steuerberg,Feldkirchen,Kärnten,21010,1579,43.45,52.88,686,835
Steyr,Steyr (Stadt),Oberösterreich,40201,37952,39.76,52.4,15090,19887
Steyregg,Urfahr-Umgebung,Oberösterreich,41624,4934,44.79,59.89,2210,2955
Stinatz,Güssing,Burgenland,10415,1218,53.53,66.17,652,806
Stiwoll,Graz-Umgebung,Steiermark,60647,708,38.7,58.19,274,412
Stockenboi,Villach Land,Kärnten,20723,1612,29.03,36.23,468,584
Stockerau,Korneuburg,Niederösterreich,31230,16789,47.51,64.29,7976,10794
Stoob,Oberpullendorf,Burgenland,10822,1370,52.04,66.35,713,909
Stössing,Sankt Pölten (Land),Niederösterreich,31941,844,30.45,41.35,257,349
Stotzing,Eisenstadt-Umgebung,Burgenland,10321,823,49.94,65.25,411,537
Straden,Südoststeiermark,Steiermark,62390,3508,45.24,62.03,1587,2176
Strallegg,Weiz,Steiermark,61750,1910,35.39,50.89,676,972
Straning-Grafenberg,Horn,Niederösterreich,31130,712,46.63,59.69,332,425
Straß im Attergau,Vöcklabruck,Oberösterreich,41741,1525,30.56,43.54,466,664
Straß im Straßertale,Krems (Land),Niederösterreich,31346,1750,43.43,60.34,760,1056
Strass im Zillertal,Schwaz,Tirol,70930,860,57.21,62.21,492,535
Straßburg,Sankt Veit an der Glan,Kärnten,20530,1991,47.41,58.61,944,1167
Strassen,Lienz,Tirol,70729,797,40.53,54.58,323,435
Strasshof an der Nordbahn,Gänserndorf,Niederösterreich,30856,11085,39.45,58.36,4373,6469
Straßwalchen,Salzburg-Umgebung,Salzburg,50335,7753,35.26,44.68,2734,3464
Stratzing,Krems (Land),Niederösterreich,31347,906,48.01,69.32,435,628
Strem,Güssing,Burgenland,10416,872,58.49,72.25,510,630
Strengberg,Amstetten,Niederösterreich,30534,2117,39.02,54.98,826,1164
Strengen,Landeck,Tirol,70627,1240,38.15,54.84,473,680
Strobl,Salzburg-Umgebung,Salzburg,50336,3670,46.21,54.52,1696,2001
Stroheim,Eferding,Oberösterreich,40512,1625,35.26,48.43,573,787
Stronsdorf,Mistelbach,Niederösterreich,31650,1612,46.03,64.45,742,1039
Stubenberg,Hartberg-Fürstenfeld,Steiermark,62256,2196,41.39,56.88,909,1249
Stuhlfelden,Zell am See,Salzburg,50621,1575,36.44,50.54,574,796
Stumm,Schwaz,Tirol,70931,1928,58.2,61.36,1122,1183
Stummerberg,Schwaz,Tirol,70932,851,51.59,54.52,439,464
Suben,Schärding,Oberösterreich,41425,1561,37.92,49.46,592,772
Sulz,Feldkirch,Vorarlberg,80420,2597,44.05,57.49,1144,1493
Sulz im Weinviertel,Gänserndorf,Niederösterreich,30857,1201,52.46,70.77,630,850
Sulzberg,Bregenz,Vorarlberg,80238,1822,41.77,53.24,761,970
Tadten,Neusiedl am See,Burgenland,10720,1163,61.56,74.46,716,866
Taiskirchen im Innkreis,Ried im Innkreis,Oberösterreich,41231,2413,39.08,52.63,943,1270
Tamsweg,Tamsweg,Salzburg,50510,5661,45.47,55.33,2574,3132
Tannheim,Reutte,Tirol,70832,1132,39.84,50.88,451,576
Tarrenz,Imst,Tirol,70222,2777,31.87,46.27,885,1285
Tarsdorf,Braunau am Inn,Oberösterreich,40443,2113,33.6,43.82,710,926
Tattendorf,Baden,Niederösterreich,30636,1440,48.33,63.75,696,918
Taufkirchen an der Pram,Schärding,Oberösterreich,41426,2940,38.2,52.18,1123,1534
Taufkirchen an der Trattnach,Grieskirchen,Oberösterreich,40829,1935,41.55,52.76,804,1021
Taxenbach,Zell am See,Salzburg,50622,2711,42.12,54.44,1142,1476
Techelsberg am Wörther See,Klagenfurt Land,Kärnten,20435,2201,46.21,56.7,1017,1248
Teesdorf,Baden,Niederösterreich,30637,1805,41,56.73,740,1024
Telfes im Stubai,Innsbruck-Land,Tirol,70356,1592,40.7,59.99,648,955
Telfs,Innsbruck-Land,Tirol,70357,16091,37.32,55.85,6005,8987
Terfens,Schwaz,Tirol,70933,2222,63.86,68.54,1419,1523
Ternberg,Steyr-Land,Oberösterreich,41517,3370,41.63,51.66,1403,1741
Ternitz,Neunkirchen,Niederösterreich,31839,14640,43.86,57.91,6421,8478
Teufenbach-Katsch,Murau,Steiermark,61446,1874,36.23,52.83,679,990
Texingtal,Melk,Niederösterreich,31551,1648,35.01,46.72,577,770
Thal,Graz-Umgebung,Steiermark,60648,2385,45.07,61.09,1075,1457
Thalgau,Salzburg-Umgebung,Salzburg,50337,5971,39.14,49.66,2337,2965
Thalheim bei Wels,Wels-Land,Oberösterreich,41823,5564,43.91,57.05,2443,3174
Thannhausen,Weiz,Steiermark,61751,2475,38.22,53.01,946,1312
Thaur,Innsbruck-Land,Tirol,70358,4112,43.94,61.5,1807,2529
Thaya,Waidhofen an der Thaya,Niederösterreich,32217,1399,38.1,54.04,533,756
Theresienfeld,Wiener Neustadt (Land),Niederösterreich,32330,3817,34.08,50.67,1301,1934
Thiersee,Kufstein,Tirol,70527,3097,36.16,53.15,1120,1646
Thomasberg,Neunkirchen,Niederösterreich,31840,1256,39.57,54.54,497,685
Thomatal,Tamsweg,Salzburg,50511,352,40.06,51.42,141,181
Thörl,Bruck-Mürzzuschlag,Steiermark,62147,2233,47.56,62.61,1062,1398
Thüringen,Bludenz,Vorarlberg,80126,2215,43.57,55.76,965,1235
Thüringerberg,Bludenz,Vorarlberg,80127,700,41.29,51.57,289,361
Thurn,Lienz,Tirol,70731,625,41.92,52,262,325
Tiefgraben,Vöcklabruck,Oberösterreich,41742,4014,34.4,47.09,1381,1890
Tieschen,Südoststeiermark,Steiermark,62368,1196,46.4,62.46,555,747
Tillmitsch,Leibnitz,Steiermark,61043,3457,41.25,59.79,1426,2067
Timelkam,Vöcklabruck,Oberösterreich,41743,5916,38.84,51.88,2298,3069
Tobadill,Landeck,Tirol,70628,508,37.6,60.24,191,306
Tobaj,Güssing,Burgenland,10417,1342,54.99,68.41,738,918
Tollet,Grieskirchen,Oberösterreich,40830,934,46.36,57.07,433,533
Tösens,Landeck,Tirol,70629,762,27.43,43.83,209,334
Traboch,Leoben,Steiermark,61116,1417,40.79,57.59,578,816
Tragöß-Sankt Katharein,Bruck-Mürzzuschlag,Steiermark,62148,1844,49.57,66.7,914,1230
Tragwein,Freistadt,Oberösterreich,40620,3131,38.29,53.31,1199,1669
Traisen,Lilienfeld,Niederösterreich,31413,3457,40.01,55.92,1383,1933
Traiskirchen,Baden,Niederösterreich,30639,18774,41.92,57.89,7870,10868
Traismauer,Sankt Pölten (Land),Niederösterreich,31943,6391,39.77,56,2542,3579
Trattenbach,Neunkirchen,Niederösterreich,31841,527,37,53.32,195,281
Traun,Linz-Land,Oberösterreich,41021,24828,34.48,46.36,8561,11510
Traunkirchen,Gmunden,Oberösterreich,40718,1651,50.76,61.36,838,1013
Trausdorf an der Wulka,Eisenstadt-Umgebung,Burgenland,10317,2067,57.72,69.38,1193,1434
Trautmannsdorf an der Leitha,Bruck an der Leitha,Niederösterreich,30726,3005,47.55,66.26,1429,1991
Trebesing,Spittal an der Drau,Kärnten,20638,1189,28.76,39.19,342,466
Treffen am Ossiacher See,Villach Land,Kärnten,20724,4534,45.94,56.46,2083,2560
Treubach,Braunau am Inn,Oberösterreich,40444,737,34.06,44.91,251,331
Trieben,Liezen,Steiermark,61247,3329,36.68,49.62,1221,1652
Trins,Innsbruck-Land,Tirol,70359,1345,36.8,53.01,495,713
Tristach,Lienz,Tirol,70732,1461,43.94,54.89,642,802
Trofaiach,Leoben,Steiermark,61120,10994,47.18,61.5,5187,6761
Trumau,Baden,Niederösterreich,30641,3718,44.27,58.28,1646,2167
Tschagguns,Bludenz,Vorarlberg,80128,2172,44.75,57.37,972,1246
Tschanigraben,Güssing,Burgenland,10423,67,56.72,73.13,38,49
Tulbing,Tulln,Niederösterreich,32134,3026,51.49,68.54,1558,2074
Tulfes,Innsbruck-Land,Tirol,70360,1693,42.53,58,720,982
Tulln an der Donau,Tulln,Niederösterreich,32135,16380,46.25,64.58,7576,10578
Tullnerbach,Sankt Pölten (Land),Niederösterreich,31953,2923,49.16,64.28,1437,1879
Tumeltsham,Ried im Innkreis,Oberösterreich,41232,1587,45.62,56.27,724,893
Turnau,Bruck-Mürzzuschlag,Steiermark,62135,1592,43.84,56.72,698,903
Türnitz,Lilienfeld,Niederösterreich,31414,1891,47.65,62.45,901,1181
Tux,Schwaz,Tirol,70934,1924,62.21,67.78,1197,1304
Tweng,Tamsweg,Salzburg,50512,245,39.59,53.47,97,131
Übelbach,Graz-Umgebung,Steiermark,60651,2051,38.71,55.44,794,1137
Überackern,Braunau am Inn,Oberösterreich,40445,681,37.89,47.58,258,324
Übersaxen,Feldkirch,Vorarlberg,80421,619,45.88,59.61,284,369
Uderns,Schwaz,Tirol,70935,1837,60.21,64.4,1106,1183
Ulrichsberg,Rohrbach,Oberösterreich,41342,2846,45.5,60.19,1295,1713
Ulrichskirchen-Schleinbach,Mistelbach,Niederösterreich,31651,2631,52.19,68.49,1373,1802
Umhausen,Imst,Tirol,70223,3379,31.04,46.79,1049,1581
Ungenach,Vöcklabruck,Oberösterreich,41744,1487,36.92,53.46,549,795
Unken,Zell am See,Salzburg,50623,1915,41.25,47.78,790,915
Unserfrau-Altweitra,Gmünd,Niederösterreich,30939,988,41.4,55.47,409,548
Unterach am Attersee,Vöcklabruck,Oberösterreich,41745,1516,44.92,56.66,681,859
Unterfrauenhaid,Oberpullendorf,Burgenland,10825,644,48.14,62.11,310,400
Unterkohlstätten,Oberwart,Burgenland,10924,1002,56.49,71.16,566,713
Unterlamm,Südoststeiermark,Steiermark,62372,1254,36.84,54.63,462,685
Unternberg,Tamsweg,Salzburg,50513,1007,39.23,49.65,395,500
Unterperfuss,Innsbruck-Land,Tirol,70361,230,45.22,60.87,104,140
Unterrabnitz-Schwendgraben,Oberpullendorf,Burgenland,10826,639,48.2,62.28,308,398
Untersiebenbrunn,Gänserndorf,Niederösterreich,30858,1768,41.12,62.67,727,1108
Unterstinkenbrunn,Mistelbach,Niederösterreich,31652,555,48.65,67.75,270,376
Untertauern,Sankt Johann im Pongau,Salzburg,50422,462,43.72,55.41,202,256
Untertilliach,Lienz,Tirol,70733,223,38.12,47.53,85,106
Unterwart,Oberwart,Burgenland,10925,959,45.46,58.08,436,557
Unterweißenbach,Freistadt,Oberösterreich,40621,2149,35.97,46.81,773,1006
Unterweitersdorf,Freistadt,Oberösterreich,40622,2190,39.13,53.24,857,1166
Unzmarkt-Frauenburg,Murtal,Steiermark,62036,1259,43.61,61.72,549,777
Uttendorf,Zell am See,Salzburg,50624,3031,39.16,50.02,1187,1516
Utzenaich,Ried im Innkreis,Oberösterreich,41233,1619,40.4,52.44,654,849
Vals,Innsbruck-Land,Tirol,70362,527,33.02,54.84,174,289
Vandans,Bludenz,Vorarlberg,80129,2740,47.41,59.34,1299,1626
Vasoldsberg,Graz-Umgebung,Steiermark,60653,4643,39.95,55.52,1855,2578
Velden am Wörther See,Villach Land,Kärnten,20725,9105,47.11,57.13,4289,5202
Velm-Götzendorf,Gänserndorf,Niederösterreich,30859,765,46.8,64.44,358,493
Vichtenstein,Schärding,Oberösterreich,41427,617,35.66,48.14,220,297
Viehdorf,Amstetten,Niederösterreich,30536,1361,38.57,51.95,525,707
Viehhofen,Zell am See,Salzburg,50625,590,36.95,48.98,218,289
Viktorsberg,Feldkirch,Vorarlberg,80422,415,51.08,54.46,212,226
Villach,Villach (Stadt),Kärnten,20201,63236,41.29,52.99,26110,33509
Vils,Reutte,Tirol,70833,1483,45.65,57.52,677,853
Virgen,Lienz,Tirol,70734,2215,30.61,38.65,678,856
Vitis,Waidhofen an der Thaya,Niederösterreich,32219,2649,39.3,56.02,1041,1484
Vöcklabruck,Vöcklabruck,Oberösterreich,41746,12445,41.62,54.05,5180,6727
Vöcklamarkt,Vöcklabruck,Oberösterreich,41747,5048,31.79,45.9,1605,2317
Voitsberg,Voitsberg,Steiermark,61625,9391,40.16,56.89,3771,5343
Volders,Innsbruck-Land,Tirol,70365,4497,44.54,57.48,2003,2585
Völkermarkt,Völkermarkt,Kärnten,20817,10866,41.25,54.11,4482,5880
Völs,Innsbruck-Land,Tirol,70364,6963,44.38,61.48,3090,4281
Vomp,Schwaz,Tirol,70936,5283,61.65,66.02,3257,3488
Vorau,Hartberg-Fürstenfeld,Steiermark,62278,4669,36.07,51.98,1684,2427
Vorchdorf,Gmunden,Oberösterreich,40720,7572,34.28,47.5,2596,3597
Vorderhornbach,Reutte,Tirol,70834,257,41.25,56.03,106,144
Vordernberg,Leoben,Steiermark,61118,953,47.11,63.17,449,602
Vorderstoder,Kirchdorf an der Krems,Oberösterreich,40921,819,38.71,53.36,317,437
Vorderweißenbach,Urfahr-Umgebung,Oberösterreich,41628,2670,34.01,47.79,908,1276
Vösendorf,Mödling,Niederösterreich,31723,7373,42.63,61.67,3143,4547
Wagna,Leibnitz,Steiermark,61045,6349,36.75,54.07,2333,3433
