
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Weerberg,Schwaz,Tirol,70938,2495,60.16,63.85,1501,1593
Weibern,Grieskirchen,Oberösterreich,40833,1715,40.87,54.46,701,934
Weichselbaum,Jennersdorf,Burgenland,10510,707,48.94,62.38,346,441
Weiden am See,Neusiedl am See,Burgenland,10722,2527,53.03,66.05,1340,1669
Weiden an der March,Gänserndorf,Niederösterreich,30865,985,44.77,64.57,441,636
Weiden bei Rechnitz,Oberwart,Burgenland,10926,831,50.9,65.1,423,541
Weikendorf,Gänserndorf,Niederösterreich,30860,2042,41.92,60.38,856,1233
Weikersdorf am Steinfelde,Wiener Neustadt (Land),Niederösterreich,32334,1068,41.48,61.61,443,658
Weilbach,Ried im Innkreis,Oberösterreich,41235,625,42.56,51.68,266,323
Weiler,Feldkirch,Vorarlberg,80423,2171,42.51,56.98,923,1237
Weinburg,Sankt Pölten (Land),Niederösterreich,31945,1407,45.84,58.56,645,824
Weingraben,Oberpullendorf,Burgenland,10827,355,52.11,66.2,185,235
Weinitzen,Graz-Umgebung,Steiermark,60654,2739,44.14,60.06,1209,1645
Weinzierl am Walde,Krems (Land),Niederösterreich,31350,1244,40.11,54.66,499,680
Weißbach bei Lofer,Zell am See,Salzburg,50627,412,37.38,49.27,154,203
Weißenbach am Lech,Reutte,Tirol,70836,1267,33.94,54.22,430,687
Weissenbach an der Triesting,Baden,Niederösterreich,30645,1723,39.29,54.79,677,944
Weißenkirchen im Attergau,Vöcklabruck,Oberösterreich,41748,956,31.69,44.14,303,422
Weißenkirchen in der Wachau,Krems (Land),Niederösterreich,31351,1400,50,71.43,700,1000
Weißensee,Spittal an der Drau,Kärnten,20639,771,56.55,62.91,436,485
Weißenstein,Villach Land,Kärnten,20726,2932,45.33,55.53,1329,1628
Weißkirchen an der Traun,Wels-Land,Oberösterreich,41824,3443,42.55,56.2,1465,1935
Weißkirchen in Steiermark,Murtal,Steiermark,62048,4787,39.77,54.79,1904,2623
Weißpriach,Tamsweg,Salzburg,50514,311,39.55,58.84,123,183
Weistrach,Amstetten,Niederösterreich,30539,2278,33.27,46.88,758,1068
Weiten,Melk,Niederösterreich,31546,1110,37.84,49.37,420,548
Weitensfeld im Gurktal,Sankt Veit an der Glan,Kärnten,20531,2012,44.93,55.62,904,1119
Weitersfeld,Horn,Niederösterreich,31129,1536,58.98,70.96,906,1090
Weitersfelden,Freistadt,Oberösterreich,40625,1055,36.68,48.44,387,511
Weitra,Gmünd,Niederösterreich,30942,2629,49.71,64.13,1307,1686
Weiz,Weiz,Steiermark,61766,11756,39.83,54.41,4682,6396
Wels,Wels (Stadt),Oberösterreich,40301,62654,33.93,46.57,21259,29178
Wendling,Grieskirchen,Oberösterreich,40834,860,38.72,47.44,333,408
Weng im Innkreis,Braunau am Inn,Oberösterreich,40446,1425,41.4,51.79,590,738
Wenigzell,Hartberg-Fürstenfeld,Steiermark,62262,1404,39.39,56.77,553,797
Wenns,Imst,Tirol,70224,2081,38.06,53.68,792,1117
Weppersdorf,Oberpullendorf,Burgenland,10823,1813,50.14,62.33,909,1130
Werfen,Sankt Johann im Pongau,Salzburg,50424,3028,42.64,56.14,1291,1700
Werfenweng,Sankt Johann im Pongau,Salzburg,50425,1064,38.53,51.5,410,548
Wernberg,Villach Land,Kärnten,20727,5508,41.94,52.45,2310,2889
Werndorf,Graz-Umgebung,Steiermark,60655,2453,35.75,54.18,877,1329
Wernstein am Inn,Schärding,Oberösterreich,41429,1554,39.19,52.32,609,813
Westendorf,Kitzbühel,Tirol,70420,3664,41.05,60.59,1504,2220
Wettmannstätten,Deutschlandsberg,Steiermark,60341,1645,35.87,51.25,590,843
Weyer,Steyr-Land,Oberösterreich,41522,4068,43.22,54.82,1758,2230
Weyregg am Attersee,Vöcklabruck,Oberösterreich,41749,1562,46.03,60.24,719,941
Wiener Neudorf,Mödling,Niederösterreich,31725,9310,47.02,65.08,4378,6059
Wiener Neustadt,Wiener Neustadt (Stadt),Niederösterreich,30401,46456,35.67,52.28,16571,24287
Wienerwald,Mödling,Niederösterreich,31726,2893,50.29,65.47,1455,1894
Wies,Deutschlandsberg,Steiermark,60351,4289,37.54,52.27,1610,2242
Wieselburg,Scheibbs,Niederösterreich,32016,4408,35.03,51.61,1544,2275
Wieselburg-Land,Scheibbs,Niederösterreich,32017,3398,36.02,50.82,1224,1727
Wiesen,Mattersburg,Burgenland,10615,2697,48.98,62.81,1321,1694
Wiesfleck,Oberwart,Burgenland,10927,1165,41.8,57.08,487,665
Wiesing,Schwaz,Tirol,70939,2144,61.29,65.72,1314,1409
Wiesmath,Wiener Neustadt (Land),Niederösterreich,32335,1526,37.81,52.95,577,808
Wildalpen,Liezen,Steiermark,61251,447,48.99,68.68,219,307
Wildendürnbach,Mistelbach,Niederösterreich,31653,1550,50.97,67.55,790,1047
Wildermieming,Innsbruck-Land,Tirol,70368,982,49.29,58.25,484,572
Wildon,Leibnitz,Steiermark,61059,5538,36.53,53.41,2023,2958
Wildschönau,Kufstein,Tirol,70530,4314,31.64,53.27,1365,2298
Wilfersdorf,Mistelbach,Niederösterreich,31654,2092,44.46,64.39,930,1347
Wilhelmsburg,Sankt Pölten (Land),Niederösterreich,31947,6577,43.8,56.52,2881,3717
Wilhering,Linz-Land,Oberösterreich,41022,5890,48.66,61.43,2866,3618
Willendorf,Neunkirchen,Niederösterreich,31845,983,44.96,59.82,442,588
Wimpassing an der Leitha,Eisenstadt-Umgebung,Burgenland,10318,1702,42.3,57.52,720,979
Wimpassing im Schwarzatale,Neunkirchen,Niederösterreich,31846,1598,39.8,53.07,636,848
Winden am See,Neusiedl am See,Burgenland,10723,1357,51.44,65.44,698,888
Windhaag bei Freistadt,Freistadt,Oberösterreich,40626,1571,42.27,53.91,664,847
Windhaag bei Perg,Perg,Oberösterreich,41126,1514,32.43,51.45,491,779
Windigsteig,Waidhofen an der Thaya,Niederösterreich,32223,912,47.04,63.16,429,576
Windischgarsten,Kirchdorf an der Krems,Oberösterreich,40923,2360,47.33,63.52,1117,1499
Winklarn,Amstetten,Niederösterreich,30541,1843,42.97,56.59,792,1043
Winklern,Spittal an der Drau,Kärnten,20640,1200,31.25,40.42,375,485
Winzendorf-Muthmannsdorf,Wiener Neustadt (Land),Niederösterreich,32336,1881,43.27,59.81,814,1125
Wippenham,Ried im Innkreis,Oberösterreich,41236,564,39.01,47.87,220,270
Wölbling,Sankt Pölten (Land),Niederösterreich,31948,2503,39.75,55.81,995,1397
Wolfau,Oberwart,Burgenland,10928,1435,42.37,54.98,608,789
Wolfern,Steyr-Land,Oberösterreich,41521,3202,46.91,58.24,1502,1865
Wolfpassing,Scheibbs,Niederösterreich,32018,1652,32.02,48.73,529,805
Wolfsbach,Amstetten,Niederösterreich,30542,2062,35.89,51.89,740,1070
Wolfsberg,Wolfsberg,Kärnten,20923,25031,40.49,54.72,10135,13697
Wolfsegg am Hausruck,Vöcklabruck,Oberösterreich,41750,2034,41.05,52.85,835,1075
Wolfsgraben,Sankt Pölten (Land),Niederösterreich,31954,1760,50,64.32,880,1132
Wolfsthal,Bruck an der Leitha,Niederösterreich,30728,1176,35.12,48.13,413,566
Wolfurt,Bregenz,Vorarlberg,80240,8655,47.49,58.14,4110,5032
Wolkersdorf im Weinviertel,Mistelbach,Niederösterreich,31655,7342,52.96,69.03,3888,5068
Wöllersdorf-Steinabrückl,Wiener Neustadt (Land),Niederösterreich,32337,4732,36.83,53,1743,2508
Wörgl,Kufstein,Tirol,70531,14179,31.93,51.63,4527,7321
Wörschach,Liezen,Steiermark,61252,1161,37.9,53.4,440,620
Wörterberg,Güssing,Burgenland,10419,479,44.26,54.07,212,259
Wulkaprodersdorf,Eisenstadt-Umgebung,Burgenland,10319,1982,50.1,63.32,993,1255
Wullersdorf,Hollabrunn,Niederösterreich,31051,2386,48.62,61.15,1160,1459
Wundschuh,Graz-Umgebung,Steiermark,60656,1645,37.99,56.53,625,930
Würflach,Neunkirchen,Niederösterreich,31847,1598,46.43,60.39,742,965
Würmla,Tulln,Niederösterreich,32139,1543,44.2,58.91,682,909
Ybbs an der Donau,Melk,Niederösterreich,31549,5565,44.13,57.38,2456,3193
Ybbsitz,Amstetten,Niederösterreich,30543,3378,33.3,43.07,1125,1455
Yspertal,Melk,Niederösterreich,31552,2009,44.3,52.86,890,1062
Zagersdorf,Eisenstadt-Umgebung,Burgenland,10323,1101,52.68,65.12,580,717
Zams,Landeck,Tirol,70630,3459,47.21,64.44,1633,2229
Zederhaus,Tamsweg,Salzburg,50515,1170,31.71,44.1,371,516
Zeillern,Amstetten,Niederösterreich,30544,1876,41.04,56.34,770,1057
Zeiselmauer-Wolfpassing,Tulln,Niederösterreich,32140,2265,49.36,64.02,1118,1450
Zelking-Matzleinsdorf,Melk,Niederösterreich,31550,1215,50.45,59.92,613,728
Zell,Klagenfurt Land,Kärnten,20441,606,38.78,49.34,235,299
Zell am Moos,Vöcklabruck,Oberösterreich,41751,1625,35.32,46.09,574,749
Zell am Pettenfirst,Vöcklabruck,Oberösterreich,41752,1236,39.32,52.35,486,647
Zell am See,Zell am See,Salzburg,50628,10131,47.18,57.21,4780,5796
Zell am Ziller,Schwaz,Tirol,70940,1657,61.92,65.48,1026,1085
Zell an der Pram,Schärding,Oberösterreich,41430,1986,38.62,51.71,767,1027
Zellberg,Schwaz,Tirol,70941,680,53.09,56.18,361,382
Zellerndorf,Hollabrunn,Niederösterreich,31052,2424,50.66,67.78,1228,1643
Zeltweg,Murtal,Steiermark,62038,7039,39.04,54.72,2748,3852
Zemendorf-Stöttera,Mattersburg,Burgenland,10618,1263,51.23,66.19,647,836
Ziersdorf,Hollabrunn,Niederösterreich,31053,3345,49.39,65.47,1652,2190
Zillingdorf,Wiener Neustadt (Land),Niederösterreich,32338,2073,42.93,60.54,890,1255
Zillingtal,Eisenstadt-Umgebung,Burgenland,10322,991,49.85,64.38,494,638
Zirl,Innsbruck-Land,Tirol,70369,8197,42.19,61.57,3458,5047
Zistersdorf,Gänserndorf,Niederösterreich,30863,5356,46.68,64.73,2500,3467
Zöbern,Neunkirchen,Niederösterreich,31848,1393,40.7,53.41,567,744
Zöblen,Reutte,Tirol,70837,240,46.25,52.08,111,125
Zurndorf,Neusiedl am See,Burgenland,10724,2280,47.46,61.01,1082,1391
Zwentendorf an der Donau,Tulln,Niederösterreich,32141,4133,42.63,59.06,1762,2441
Zwettl an der Rodl,Urfahr-Umgebung,Oberösterreich,41627,1745,39.26,54.1,685,944
Zwettl-Niederösterreich,Zwettl,Niederösterreich,32530,10723,46.53,61.02,4989,6543
Zwischenwasser,Feldkirch,Vorarlberg,80424,3328,44.02,55.56,1465,1849
Zwölfaxing,Bruck an der Leitha,Niederösterreich,30741,1743,44.92,62.31,783,1086
Wien-Leopoldstadt,Wien-Leopoldstadt,Wien,90021,105848,37.94,53.28,40159,56396
Wien-Hernals,Wien-Hernals,Wien,90171,57027,38.39,52.77,21893,30093
Wien-Währing,Wien-Währing,Wien,90181,51497,45.47,60.77,23416,31295
Wien-Brigittenau,Wien-Brigittenau,Wien,90201,86368,32.56,47.26,28121,40818
Wien-Floridsdorf,Wien-Floridsdorf,Wien,90211,167968,38.59,53.6,64819,90031
Wien-Donaustadt,Wien-Donaustadt,Wien,90221,19523,41.41,57.24,8084,11175
Wien-Döbling,Wien-Döbling,Wien,90191,73901,45.53,59.59,33647,44038
Wien-Penzing,Wien-Penzing,Wien,90141,93634,42.45,56.62,39748,53016
Wien-Alsergrund,Wien-Alsergrund,Wien,90091,41884,45.79,61.91,19179,25930
Wien-Leopoldstadt,Wien-Leopoldstadt,Wien,90021,105848,37.94,53.28,40159,56396
Wien-Innere Stadt,Wien-Innere Stadt,Wien,90011,16047,50.11,62.07,8041,9960
Wien-Wieden,Wien-Wieden,Wien,90041,33212,43.29,59.25,14377,19678
Wien-Landstraße,Wien-Landstraße,Wien,90031,9168,41.29,57.51,3785,5273
Wien-Liesing,Wien-Liesing,Wien,90231,110464,42.96,57.55,47455,63572
Wien-Rudolfsheim-Fünfhaus,Wien-Rudolfsheim-Fünfhaus,Wien,90151,76813,32.86,47.68,25241,36624
Wien-Ottakring,Wien-Ottakring,Wien,90161,103117,35.99,50.11,37112,51672
Wien-Hernals,Wien-Hernals,Wien,90171,57027,38.39,52.77,21893,30093
Wien-Währing,Wien-Währing,Wien,90181,51497,45.47,60.77,23416,31295
Wien-Donaustadt,Wien-Donaustadt,Wien,90221,19523,41.41,57.24,8084,11175
Wien-Penzing,Wien-Penzing,Wien,90141,93634,42.45,56.62,39748,53016
Wien-Hietzing,Wien-Hietzing,Wien,90131,5404,49.12,62.35,2654,3369
Wien-Josefstadt,Wien-Josefstadt,Wien,90081,25021,46.53,61.87,11642,15480
Wien-Neubau,Wien-Neubau,Wien,90071,31961,46.19,63.19,14763,20196
Wien-Mariahilf,Wien-Mariahilf,Wien,90061,31651,44.61,61.24,14120,19383
Wien-Margareten,Wien-Margareten,Wien,90051,55123,36.72,53.22,20241,29336
Wien-Meidling,Wien-Meidling,Wien,90121,97078,34.91,49.49,33890,48044
Wien-Simmering,Wien-Simmering,Wien,90111,104434,33.46,47.43,34944,49533
Wien-Favoriten,Wien-Favoriten,Wien,90101,207193,31.9,45.28,66095,93817
Wien-Alsergrund,Wien-Alsergrund,Wien,90091,41884,45.79,61.91,19179,25930
Wien-Donaustadt,Wien-Donaustadt,Wien,90221,19523,41.41,57.24,8084,11175
Wien-Donaustadt,Wien-Donaustadt,Wien,90221,19523,41.41,57.24,8084,11175
